ArRId;ArRVersion;ArRCreated;ArRChanged;ArRName;ArRType;ArRPublicCode;ArRXEpsg2154;ArRYEpsg2154;ZdAId;ArRGeopoint;ArRTown;ArRPostalRegion;ArRAccessibility;ArRAudibleSignals;ArRVisualSigns;ArRFareZone
21947;1025733-44529;2014-12-28T19:00:00-05:00;2021-05-04T13:56:37-04:00;Porte des Lilas;metro;-;656511;6864224;44529;48.876568598079956, 2.4070619733807948;Paris 20e;75120;false;true;true;1
21946;1022801-44864;2014-12-28T19:00:00-05:00;2021-05-04T13:56:37-04:00;Saint-Fargeau;metro;-;656319;6863700;44864;48.87184337127491, 2.404498183168868;Paris 20e;75120;false;true;true;1
21939;1021860-1034598;2014-12-28T19:00:00-05:00;2021-05-04T13:56:37-04:00;Billancourt;metro;-;644061;6859356;42334;48.83183051190114, 2.237965973200589;Boulogne-Billancourt;92012;false;true;true;2
21926;1024562-999387;2014-12-28T19:00:00-05:00;2021-05-04T13:56:37-04:00;Havre-Caumartin;metro;-;650684;6863948;462375;48.87366675099707, 2.327651103418781;Paris 9e;75109;false;true;true;1
21924;1020423-43511;2014-12-28T19:00:00-05:00;2021-05-04T13:56:37-04:00;Miromesnil;metro;-;649730;6863968;43511;48.87377284828476, 2.314643040110446;Paris 8e;75108;false;true;true;1
21917;1026418-44962;2014-12-28T19:00:00-05:00;2021-05-04T13:56:37-04:00;Trocadéro;metro;-;647680;6862798;44962;48.86308806016788, 2.2868398797962897;Paris 16e;75116;false;true;true;1
21933;1023487-1034564;2014-12-28T19:00:00-05:00;2021-05-04T13:56:37-04:00;Bonne Nouvelle;metro;-;652210;6863599;45100;48.87064331506883, 2.3484940979375364;Paris 10e;75110;false;true;true;1
21915;1025945-44594;2014-12-28T19:00:00-05:00;2021-05-04T13:56:37-04:00;Ranelagh;metro;-;646439;6861944;44594;48.855306213938896, 2.270032697561898;Paris 16e;75116;false;true;true;1
21913;1025665-44520;2014-12-28T19:00:00-05:00;2021-05-04T13:56:37-04:00;Porte de Montreuil;metro;-;656759;6861664;44520;48.853563499994834, 2.4107036110235405;Paris 20e;75120;false;true;true;1
21912;1020373-1532516;2014-12-28T19:00:00-05:00;2021-05-04T13:56:37-04:00;Saint-Philippe du Roule;metro;-;649388;6863791;44884;48.872154349087864, 2.3100016996008175;Paris 8e;75108;false;true;true;1
463277;1025637-44512;2019-01-28T19:00:00-05:00;2021-05-04T13:56:37-04:00;Porte de Charenton;metro;-;656130;6859450;44512;48.83361041374539, 2.402372975541868;Paris 12e;75112;false;true;true;1
